[21:52:47.694] "/",
[21:52:58.480] {"a":"starting Mockserver..."},
[21:53:11.988] "/a:/i3d-simple:simple_green/i2d-scene:disks0/base-skycube:test_cube//LS",
[21:53:26.924] "/a0://///shot-graft:scope1",
[21:53:36.875] "/a1://///shot-graft:scope2",
[21:53:46.826] "/a2://///shot-graft:scope3",
[21:53:56.846] "//////shot-anim:scope4",
[21:54:12.896] "/payments:/i3d-simple:phong_head_sphere_kfb/i2d-empty:/black://CU:",
[21:56:02.129] "/a:/i3d-simple:simple_green/i2d-scene:disks0/base-skycube:test_cube//LS",
[21:56:12.044] "//////shot-graft:scope7",
[21:56:22.011] "//////shot-graft:scope8",
[21:56:31.904] "//////shot-graft:scope9",
[21:56:47.042] "//////shot-anim:scope10",
[21:57:03.973] "/footprint:/i3d-scene:scene1/i2d-empty:/escher://ECU:",
[21:57:12.053] "//////shot-anim:scope12",
[21:57:27.063] "//////shot-anim:scope13",
[21:57:52.057] "//////shot-anim:scope14",
[21:58:02.060] "//////shot-anim:scope15",
[21:58:17.409] "/circle:/i3d-simple:simple_red/i2d-scene:disks0/base-skycube:test_cube//shot-graft:a0",
[21:58:32.274] "///i2d-scene:mf2d0//ui-msgbg/MS",
[21:58:43.707] "/stocks:/i3d-jsonmodels:phonghead_kfb/i2d-scene:defsuse0/grid:/ui-msgbg:/2S:",
[21:58:57.257] "///i2d-scene:mf2d0///",
[21:59:12.068] "//////shot-anim:scope20",
[21:59:22.058] "//////shot-anim:scope21",
[21:59:32.077] "//////shot-anim:scope22",
[21:59:47.069] "//////shot-anim:scope23",
[22:00:02.082] "//////shot-anim:scope24",
[22:00:12.088] "//////shot-anim:scope25",
[22:00:27.102] "//////shot-anim:scope26",
[22:00:37.065] "//////shot-anim:scope27",
[22:00:52.067] "//////shot-anim:scope28",
[22:01:07.067] "//////shot-anim:scope29",
[22:01:22.078] "//////shot-anim:scope30",
[22:01:37.076] "//////shot-anim:scope31",
[22:01:52.081] "//////shot-anim:scope32",
[22:02:02.085] "//////shot-anim:scope33",
[22:02:17.098] "//////shot-anim:scope34",
[22:02:27.086] "//////shot-anim:scope35",
[22:02:42.072] "//////shot-anim:scope36",
[22:02:57.080] "//////shot-anim:scope37",
[22:03:17.084] "//////shot-anim:scope38",
[22:03:32.087] "//////shot-anim:scope39",
[22:03:42.083] "//////shot-anim:scope40",
[22:03:52.087] "//////shot-anim:scope41",
[22:04:07.088] "//////shot-anim:scope42",
[22:04:17.095] "//////shot-anim:scope43",
[22:04:27.086] "//////shot-anim:scope44",
[22:04:42.078] "//////shot-anim:scope45",
[22:05:02.060] "//////shot-anim:scope46",
[22:05:05.079] "//////shot-anim:scope47",
[22:05:27.109] "//////shot-anim:scope48",
[22:05:37.123] "//////shot-anim:scope49",
[22:05:52.121] "//////shot-anim:scope50",
[22:06:02.106] "//////shot-anim:scope51",
[22:06:12.129] "//////shot-anim:scope52",
[22:06:27.110] "//////shot-anim:scope53",
[22:06:37.124] "//////shot-anim:scope54",
[22:06:52.123] "//////shot-anim:scope55",
[22:07:07.123] "//////shot-anim:scope56",
[22:07:22.130] "//////shot-anim:scope57",
[22:07:32.125] "//////shot-anim:scope58",
[22:07:42.128] "//////shot-anim:scope59",
[22:07:57.124] "//////shot-anim:scope60",
[22:08:07.124] "//////shot-anim:scope61",
[22:08:22.130] "//////shot-anim:scope62",
[22:14:43.321] "//////shot-anim:scope63",
